Rank,Actual�gross,Adjusted gross (in 2022 dollars),Artist,Tour title,Year(s),Shows,Average gross,Ref.
1,780000000,780000000,Taylor Swift,The Eras Tour †,2023–2024,56,13928571,[1]
2,579800000,579800000,Beyoncé,Renaissance World Tour,15-Jul-05,56,,[3]
3,411000000,560622615,Madonna,Sticky & Sweet Tour ‡[4][a],2008–2009,85,4835294,[6]
4,397300000,454751555,Pink,Beautiful Trauma World Tour,2018–2019,156,2546795,[7]
5,345675146,402844849,Taylor Swift,Reputation Stadium Tour,10-Jul-05,53,6522173,[8]
6,305158363,,Madonna,The MDNA Tour,04-Jul-05,88,3467709,[9]
7,280000000,381932682,Celine Dion,Taking Chances World Tour,2008–2009,131,2137405,[11]
7,257600000,257600000,Pink,Summer Carnival †,2023–2024,41,6282927,[12]
9,256084556,312258401,Beyoncé,The Formation World Tour,08-Jul-05,49,5226215,[13]
10,250400000,,Taylor Swift,The 1989 World Tour,07-Jul-05,85,,[14]
10,250400000,,Taylor Swift,The 1989 World Tour,07-Jul-05,85,,[14]
11,229100000,283202896,Beyoncé,The Mrs. Carter Show World Tour,2013–2014,132,1735606,[15][16]
12,227400000,295301479,Lady Gaga,The Monster Ball Tour *,2009–2011,203,1118227,[18]
13,204000000,251856802,Katy Perry,Prismatic World Tour,2014–2015,151,1350993,[19]
10,250400000,,Taylor Swift,The 1989 World Tour,07-Jul-05,85,,[14]
14,200000000,,Cher,Living Proof: The Farewell Tour ‡[21][a],2002–2005,325,615385,[20]
20,167700000,185423109,Taylor Swift,The Red Tour,2013–2014,86,1744186,[26]
15,194000000,281617035,Madonna,Confessions Tour,28-Jun-05,60,,[5]
16,184000000,227452347,Pink,The Truth About Love Tour,2013–2014,142,1295775,[22]
17,170000000,213568571,Lady Gaga,Born This Way Ball,2012–2013,98,1734694,[d]
18,169800000,207046755,Madonna,Rebel Heart Tour,2015–2016,82,,[4]
19,167700000,204486106,Adele,Adele Live 2016,2016–2017,121,1385950,[25]
20,167700000,185423109,Taylor Swift,The Red Tour,2013–2014,86,1744186,[26]
